,bot,human
101,i have not seen andy garcia what type of movies do you like to watch?,[quit]
102,"TASK COMPLETE, Thanks for chatting with me!",
103,,
104,A3VHNIFFP8Y9H7,
105,hello,Hi
106,how do you do?,Good and you?
107,good to here,nice
108,how are you?,cool
109,so what kind of movies do you like?,mystery
110,nice i enjoy movies,okay
111,what was the last movie you watched?,Harry potter
112,did you like it?,yeah
113,how long have you been watching movies,since im 15
114,"that is pretty awesome, have you seen any of the new star wars movies?",nope
115,i think you should really check out the new star wars movies they are really good,okay lemme try to see 
116,I recommend the movie Like a Boss.,yeah
117,have you seen the original trilogy?,nope
118,then you should check out the new star wars movies they are so good,for sure
119,whats the last movie you watched?,quit
120,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
121,,
122,A2OR46JV43TOJV,
123,"hello, i am here to help you look for a movie trailer.",I want to see Avenger Endgame
124,i have a movie for you. do you know that the hulk is in this movie?,yes. I know the hulk is in it
125,"it is a little spoiler free, but i think you will enjoy it! what kind of movies do you like?",Adventures
126,i love adventure movies too! do you like movies that are not mainstream?,Yeah I like it
127,Have you seen Jungle Cruise?,Not yet
128,i have. it was really awesome. there were a lot of really amazing things about it!,Have you seen captain marvel
129,yeah i have,One of the awesome movie acted by Brie Larson
130,"yeah, i really like brie larson",One of the best actress
131,youre not wrong.,I like her
132,okay.,quit
133,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/FF932ZU6Kn4 Thanks for chatting with me!",
134,,
135,AEF74ZYJTTEIA,
136,hello,"Hey there, know any good movies?"
137,Have you seen Like a Boss?,"I havent, but its a silly name. Do you like superhero movies?"
138,yes i do.,What is the best avengers movie?
139,its one of them. do you like the newer ones or the classics?,"Im not sure, which one do you like?"
140,I am recommending Bad Boys for Life.,Whats that about?
141,"its about Marcus Burnett is now a police inspector and Mike Lowery is in a midlife crisis. They unite again when an Albanian mercenary, whose brother they killed, promises them an important bonus.","That sounds kind of fun, is the acting good?"
142,yes! the trailer is out and the movie is so good. its basically 2 years later but the cops still dont trust them,[accept]
143,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
144,,
145,A3U6IA3JUSFZ2M,
146,hello! i am here to help you looking for a movie trailer.,quit
147,"TASK COMPLETE, Thanks for chatting with me!",
148,,
149,AJD65G9H2QUE9,
150,hello,hello
151,how are you?,fine
152,how are you doing today?,nice
153,what type of movies do you like?,action
154,i like action movies. what was the last action movie you watched?,Avengers end game
155,i have seen end game it was good. i thought infinity war was better.,Yes but i like end game.
156,I recommend the movie Max Steel.,Yes that also nice movie
157,what are your favorite type of movies?,THRILLER
158,I am recommending Like a Boss.,Ok yes but i know all movie.
159,i am also into movies. you know that.,I dont know which movie.
160,I am recommending Bad Boys for Life.,Bad boys for life i dont know
161,how about this movie?,Fantastic movie i love it.
162,i just have one question. which actress in this movie did you like the best?,Kate del Castillo
163,which one did you like most?,Bad boys for life.
164,i loved bad boys for life it was the first movie i watched on my own when i was your age.,30
165,would you like to watch this movie trailer?,Yes i love it
166,great. have a nice day.,Same to you
167,its an oldie but a goodie. enjoy your movie.,Ok thank you
168,ok have a good one,Okay
169,I would recommend Onward.,Complete Chat
170,what have you seen lately?,fly girls
171,Task Finished!,
172,,
173,A1DH31FIHH5Y29,
174,hello,hi
175,how are you,iam fine
176,what are some of your favorite movies,no one is favourite
177,what was the last movie you watched,plus one
178,what was that about,a good funny one
179,i think that is a great movie,slightly
180,did you enjoy the movie?,little bit of joy
181,how old are you?,65
182,im 65 and you have to enjoy the movie that you watched,yes
183,what did you like and dislike about the movie?,"fully funny. but,no romantic"
184,I recommend the movie Like a Boss.,no
185,but.you are ok with this?,not ok
186,I would like to recommend Bad Boys for Life.,yes
187,you watch the movie trailer?,yes alreay watched it
188,i think you will like it,yes 
189,"OK, how about Onward?",good
190,very,slightly very good
191,awesome,thank you
192,no problem,ok
193,ok so,elcome
194,hmm,welcome
195,Task Finished!,
196,,
197,A3KF6O09H04SP7,
198,hello,"Can you recommend a classic drama for me, please?"
199,I am recommending Bloodshot.,I mean a classic movie from the 1950s.
200,ok got it,Can you recommend a classic movie from the 1950s?
201,I would recommend Like a Boss.,[quit]
202,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
203,,
204,A1ROEDVMTO9Y3X,
205,"hello, i am here to help you look for a movie trailer",can you find me a comedy
206,"hello, what type of movie did you want to find?",comedy
207,like a boss,ok that is a good one
208,I would recommend Like a Boss.,accept
209,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
210,,
211,A2J51BI7XS5ZYU,
212,hello,Hi
213,how are you doing?,I am just chilling
214,how are you?,I am chilling
215,great! what kind of movies do you like?,comedies
216,bad boys for life it is my favorite comedy,okay
217,what was the last movie you watched?,Liar Liar
218,I would recommend Like a Boss.,great
219,thanks,[accept]
220,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
221,,
222,A3TS15DY3N8JHE,
223,hello how are you,Im good. How are you?
224,i am well.,do you like movies?
225,what movies have you seen recently,I saw Gretel and Hansel
226,that was a nice movie. do you like fairy tale movies,yes i do
227,Have you seen Like a Boss?,no i have not
228,that is a good one.,sweet
229,do you like the movies fairy tale,yes
230,I would like to recommend Bad Boys for Life.,accept
231,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
232,,
233,A1G187YBG0DVMQ,
234,"hello, how are you doing today?",Im good you?
235,do you like to watch movies?,Yes I do. I like comedy .
236,awesome! what was the last comedy you watched?,The Jerk with Steve Martin. What was the last one you watched?
237,like a boss,oh cool. who is in it?
238,steve martin,accept
239,"TASK COMPLETE, Thanks for chatting with me!",
240,,
241,A2Y87M8V0N1M6P,
242,"hello, how are you?",FINE 
243,oh great. im here to help recommend a movie to you. what genre of movies do you like?,ACTION
244,have you seen the first avengers: endgame movie,INTERESTING ONE
245,I am recommending Avengers: Endgame.,nic one
246,do you like comic book movies,yes
247,I am recommending Like a Boss.,quit
248,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
249,,
250,A1C9ZHH1PV21PG,
251,hello! how are you?,Hello Im good and you?
252,great! so what type of movie did you watch?,I watched a drama movie
253,what did you like about that movie?,I like the story line of it
254,"ok, i just watched bloodshot have you watched",No I haen
255,would you like to watch the trailer for the movie,No thank you
256,the turning movie was pretty good have you seen it,No
257,ok thanks for the recommendation,I like funny movies and romance movies
258,I would recommend Earthquake Bird.,what is it about?
259,well you can really see how this current earthquake affected people that lived there.,I am not interested in it
260,well it is good movie in my opinion.,Thats good
261,thanks,can you recommends a comedy movie
262,I would recommend Like a Boss.,Is it funny?
263,no. but it is a good movie,What is it about
264,that would give away the end of the movie,I like movies that make me laugh or cry 
265,okay this is good movie,do you have any suggestions
266,watch the movie,which one?
267,first,recommend one
268,is this one better than the others,I don
269,what movie are you interested in?,A comedy movie
270,"okay, whats your favorite comedy?",Grown ups 
271,a great choice,yes
272,Task Finished!,
273,,
274,A2JDYN6QM8M5UN,
275,hello,hi
276,how do you do,Im doing well
277,what kinds of movies do you like?,Action and comedy movies
278,"oh awesome, bad boys for life is one of my favorites, what about you",I like wild wild west a lot
279,have you seen any of the new episodes yet?,New episodes of what?
280,new episodes of onward,Who said anything about onward?
281,what about onward,Thats what im asking. I dont even know what onward is
282,"oh! well, id recommend watching the new movie the kings man its a lot like twin peaks and seems to bring a lot of other types of stories to the forefront, its too good not to watch!","Sounds interesting, ill check it out"
283,thats perfect! i hope you enjoy it!,accept
284,"TASK COMPLETE, Thanks for chatting with me!",
285,,
286,A34CPKFZXBX1PO,
287,hello!,hi! did you see that new borat movie?
288,"no, i dont go to the movies often","its on amazon, its super good."
289,great! which actor are you rooting for in this movie?,borat! duh!
290,the same as me. what other movies do you like besides borat?,i love horror movies. what about you
291,Have you seen Antlers?,"no, whats it about?"
292,"its about A small-town Oregon teacher and her brother, the local sheriff, become entwined with a young student harboring a dangerous secret with frightening consequences.","that sounds interesting, ill definately check it out. matter of fact, want to watch it with me?"
293,id love to! just dont tell anyone...,why not..
294,i wont spoil it. its a really cool film.,so Antlers?
295,no. im talking about super hero films.,[accept]
296,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
297,,
298,A2TJBRLYCPMTNH,
299,"hello, how are you?",I AM FINE. HOW ARE YOU?
300,im doing great! what kind of movies do you like?,I AM VERY LIKE THE MOVIE IS COMEDY MOVIE. WHAT KIND OF MOVIES DO YOU LIKE?
301,i love that movie too. when did you see it the first time?,OH OK OK THEN
302,it is one of my favorites,ok 
303,bad boys for life is another great movie,"ya, yes"
304,I am recommending Like a Boss.,ok sure
305,great!,thank you
306,you are welcome,ok 
307,I am recommending Bad Boys for Life.,no
308,ok sure,ok
309,Have you seen Onward?,no
310,ok sure,ok
311,ok,bye
312,ok bye. bye,then
313,ok bye,ok
314,ok what else can i help you with today?,some work for need help
315,ok got it.,ok
316,what types of movies do you like?,comedy movies
317,ok cool i like comedy movies,ok ok 
318,"OK, how about The Kings Man?",small account
319,okay cool,thank u
320,Task Finished!,
321,,
322,A107RJSS561Y7R,
323,hello how are you?,hello i am good
324,great! what kind of movies are your favorites?,Horror movies
325,antlers what did you like about them?,Sorry i have no idea. You suggest me.
326,ok what horror movies have you seen recently?,Conjuring
327,i recently saw that movie as well. was it good?,yeah amazing
328,I am recommending Antlers.,Ok i am willing to try.
329,what other genres do you like?,horror
330,I would like to recommend The Turning.,ok good
331,ok that is great,thankyou
332,how about movies about antlers,i will watch
333,I would recommend Underwater.,ok
334,ok great. abigail breslin,accept
335,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Rszr56AH3Co Thanks for chatting with me!",
336,,
337,A3KF6O09H04SP7,
338,"hello, im here to help you look for a movie trailer.",hi
339,what kind of movies do you like?,i like comedies 
340,bad boys for life i watched on a plane once.,was it a good movie?
341,i think so. have you seen it?,"No,whos in it?"
342,bad boys for life,who are the actors in that movie?
343,there is a whole lot of well known actors in that movie.,name one
344,the movie has won 12 awards,when did this movie come out?
345,got released this year in december,give me another movie
346,Have you seen Like a Boss?,No
347,it was the best movie of 2018,i would like to see an older movie
348,Have you seen Bad Boys for Life?,No
349,"that is the best movie ever, its a masterpiece.",Is this movie a sequel?
350,its the sequel to the original. you should watch it.,Is it a comedy?
351,it is. you should watch it!,"Ok,thanks"
352,what movie are you going to watch now?,Bad boys for life
353,nice! thats one of my favorite movies.,thanks for the recommendation!
354,not a problem. have a great evening!,[accept]
355,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
356,,
357,A2NA6X1SON3KFH,
358,hello how are you?,I am fine.  How are  you?
359,i am great.,Good
360,whats your favorite movie?,Wiseguys
361,my daughter watches that movie every night.,How old is your daughter?
362,she is 5.,That movie is a little strong for a 5 year old
363,how about good girl gone bad,Is that a  movie or what you think of your daughter?
364,it is an older movie. would you like it?,I dont think that is quite my style.
365,what about dazed and confused with adam sandler,Yeah.  I have heard of that.  I hear it is funny
366,yeah its so good.,Matthew McConnahey is in that?
367,yes he is. that movie is old now. he was a good actor in that,"Yes, he is a good actor.  Very talented."
368,I recommend the movie Like a Boss.,I have not heard of that.  What is it about?
369,its about a real life mexican mob leader. its really sad,Who is the star?
370,keri russell,is she a new actress?  I havent heard of her.
371,have you heard about tom cruise,"Yes, of course."
372,now this is a movie that will not let you down,Okay.  I would like to see a trailer.
373,"me, too. ive been wanting to see the trailer for awhile.","So, it is Tom Cruise and Keri Russell?"
374,correct,When was it made?
375,"around 2010. it came out when keri russell had his breakthrough, thats why they were cast together.",I see.  Maybe I will check it out.
376,okay. enjoy the trailer.,Thanks.  I am sure I will.
377,here is the last movie to watch before you go.,What is that?
378,I would like to recommend Bad Boys for Life.,"Oh yeah, I know the Bad Boys movies."
379,Task Finished!,
380,,
381,A15VRRHQCLJHC8,
382,"hello, how are you doing?",FINE
383,"ok, cool",thanku
384,what movie do you like?,t
385,i like this type of movie.,quit
386,"TASK COMPLETE, Thanks for chatting with me!",
387,,
388,AE2SPP0FXRQA1,
389,hello how are you doing?,"I am good today, it was actually a pretty good day!"
390,i am glad you had a good day,I was actually thinking of watching a movie with my kids tonight
391,what kind of movies do you enjoy watching?,"I really like horror, but I was thinking for tonight with the kids maybe an action adventure?"
392,what was the last movie you watched?,We watched star wars the last jedi last friday night
393,i hope you enjoyed it.,Oh yeah it was great! The kids loved it too
394,I would like to recommend Avengers: Endgame.,"You know what, we have seen the other Avengers movies but not that one"
395,that is a great choice. have you watched any of the other movies yet?,accept
396,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
397,,
398,A2NUGRVI6IEGN7,
399,hello,hello
400,do you like movies?,yes
401,Have you seen Like a Boss?,yes
402,what do you think of it?,good
403,do you want to watch another movie trailer?,no
404,ok do you like movies about penguins?,sometimes
405,do you like penguins?,yes
406,Have you seen Bad Boys for Life?,no
407,ok so it is great movie,yes
408,I would like to recommend Onward.,no
409,what about,goog work
410,yes i like it. have you seen it,no
411,I am recommending The Kings Man.,no
412,can you recommend any movie?,american 
413,i can recommend american,la la land
414,i recommend this movie i think you will like it,yes
415,I would like to recommend Trolls World Tour.,no
416,what about this movie?,quit
417,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/JPzmECxyp_8 Thanks for chatting with me!",
418,,
419,A2VO8C41JJIQY9,
420,hello,Hello
421,how are you?,Im good. Thanks for asking.
422,do you like movies?,Oh yeah ! very much
423,Have you seen Like a Boss?,Nope. What is about?
424,its a nice movie,when was it released?
425,it was released in 2013.,what is it about? I mean whats its genre?
426,its a feel good comedy movie.,Nice! its been a while since I watched any good comedy mmovie
427,i think you will love the movie the kings man,I already watched that one. I liked it.
428,I am recommending Bad Boys for Life.,never heard of it.
429,you should watch the trailer. its an awesome movie.,whats its imdb rating ?
430,bad boys for life is rated pg-13,Id like to watch it. 
431,its a hilarious comedy,i love comedy movies.
432,you will love this movie then.,yeah sure Ill give it a try! thank you
433,no problem. hope you enjoy it!,I hope that too!
434,did you like it?,nope ill watch it now
435,oh i think you might enjoy it.,accept
436,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
437,,
438,A1KDT32ADI2J8U,
439,"hello, how are you?","Hi, I am fine. How do you do"
440,"fine, thanks!",What do you do for your work
441,i work at a store. what about you?,I am a software professional.
442,what kind of software do you work on?,Doing programming and developing softwares.
443,what kind of developer are you?,PHP.Are you aware of that
444,i am. i like the company that i work for. how about you?,Me too. I have passionated with the company
445,do you like the company you work for?,Yes. Very much.
446,Have you seen Like a Boss?,No. Not like that. what about you
447,yes. i love that movie.,Have you enjoy watching movie.
448,"OK, how about Bad Boys for Life?",I have no idea.
449,"ok, i will try to find it.",Ok thanks. Can you recommend some good movies for me
450,I would recommend Onward.,ok I will
451,ok sounds good.,Quit
452,ok sounds good.,Can I catch you later 
453,ok sure,Bye. Nice to chat with you
454,ok bye. enjoy the movie.,Thank you
455,do you like movies?,Yes I love movies.
456,i think we can find a movie you would like,Yes we can.
457,Have you seen The Kings Man?,No. What is intersting factor in that
458,it is a classic.,Oh. SOunds good.
459,what is the last movie you watched?,Scoob. and yours
460,Task Finished!,
461,,
462,A2N9U74YIPDQ9F,
463,"hello, how are you?",im fine. how are you?
464,pretty good. whats your favorite movie?,i love jupiter ascending
465,me too! what is your favorite character?,"i cant remember her name, but it was the lead actress in the movie"
466,i know her too. shes a great actress. my favorite movie has to be any movie with an extraordinary cast.,"me too. the cast can make or break a film, huh?"
467,I recommend the movie Like a Boss.,"oh, whats it about?"
468,"its about Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",that sounds like that netflix series with the two older ladies - one is jane fonda
469,"no, its about the older lady and the younger lady.","ok, what year was it done?"
470,"it was made this year, with the sequel coming out next year.",oh cool. thanks
471,no problem. have a great evening.,Complete Chat
472,thanks. you too,quit
473,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
474,,
475,A16OH8XXYY0AAS,
476,"hello, i am here to help you looking for a movie trailer!",accept
477,"TASK COMPLETE, Thanks for chatting with me!",
478,,
479,A272X64FOZFYLB,
480,hello!,hello
481,hello,how are you?
482,good! im here to help recommend a movie to you,ok recommend me a horror movie
483,have you ever seen the new halloween?,not yet
484,ok recommend me a movie you have watched recently,conjuring 2
485,"ok, how about horror movies that you have watched recently",accept
486,"TASK COMPLETE, Thanks for chatting with me!",
487,,
488,A2VFEDAK5C1E1O,
489,hello,Hello
490,how,Im fine
491,what movie have you watched lately?,Resident Evil
492,what was your favorite part of the movie?,When the Actress escape from the evil boss
493,that was awesome,yeah thanks
494,thats great,very great
495,are you thinking about going to see the movie again?,yes
496,what type of movies do you like to watch?,Action movies
497,how did you like infinity war,That sound amazing
498,I am recommending Avengers: Endgame.,I would love to see those movies
499,would you like to watch this movie trailer?,yes please
500,great i will recommend it,okay thanks
501,not a problem enjoy the movie,thank you for your time
502,no problem,yeah
503,will you watch this movie trailer?,yes
504,what movie genres do you like,action
505,very nice movie,yes thanks
506,I would recommend Max Steel.,accept
507,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Tf4sa0BVJVw Thanks for chatting with me!",
508,,
509,A2V27A9GZA1NR2,
510,hello,hello
511,hello how are you?,"always fine,you"
512,that is awesome. what are some of your favorite movies?,master
513,how is that movie?,super mass movie
514,never heard of that. is that a good movie?,yes
515,any recent movies you have watched?,nothing
516,do you prefer old or new movies,new movies
517,I would recommend Like a Boss.,yess
518,ok. give me two minutes.,ok 
519,its a long movie.,no only 3 hours
520,i would recommend like a boss.,nothing to ev erybody
521,I would recommend Bad Boys for Life.,no
522,would you like to watch this movie trailer?,yes 
523,ok so what about it?,nothing
524,ok...,your favorite movie
525,Have you seen Onward?,no
526,ok... what about it?,quit
527,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
528,,
529,A1PAMVTKGCXSWQ,
530,hello,Hi
531,"hello, i am here to help you look for a movie trailer.",okay
532,what movie are you looking for?,I want a movie based on aviation
533,"okay, that sounds good to me. do you have a preference for the story or just any movie based on aviation in general?","aviation in general is fine, but not horror"
534,okay great! what was the last movie you watched?,The last movie I watched was called the Outpost
535,do you prefer movies that are mostly in space or mostly in the sky?,Mostly in the sky
536,Have you seen Like a Boss?,No
537,like a boss will definitely satisfy your zombie movie needs! have you seen little mutants?,No
538,I am recommending Bad Boys for Life.,"Okay, thats fine then, but thats not really aviaton"
539,ok thats cool. lets talk about another movie.,aviation*
540,I am recommending Onward.,quit
541,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
542,,
543,A36W9YOEXLJLBT,
544,"hello, i am here to help you look for a movie trailer.","Hi, I like Sci-Fi movies!"
545,"well, what is your favorite movie?",My favorite movie is Star Wars.
546,"nice, i like star wars as well.",Thats cool. I definitely like to see other movies similar to Star Wars.
547,"thats good, i heard the new mutants antonio banderas",Is that a movie?
548,yes it is. it stars antonio banderas,"Oh, hes great. Id like to see that one."
549,its in theaters now.,"Alright, lets see Mutants"
550,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",That is perfect!
551,terminator: dark fate,"Oh, Terminator is even better. I liked the old ones."
552,"yeah, me too. i like all the terminators. the young ones have been good to.",Terminator: Dark Fate
553,I would recommend Bloodshot.,[accept]
554,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
555,,
556,A2JQI6KKCE0O9V,
557,"hello, how are you doing?","Hello,am simply working"
558,what kind of movies do you like?,Always action movies
559,what movies have you watched lately with good action?,Avengers end game
560,so whats your favorite action movie?,Always avengers
561,"OK, how about Avengers: Endgame?","Fantastic movie,the heroes are played their roll perfectly "
562,"ok, i think i have a good one for you then. so tell me more about the types of movies you like to see.","Spider man, Hulk, Mission impossible."
563,then how about avengers: infinity war or avengers: infinity war part one?,"Avengers is best of all , excellent movie."
564,I would recommend Max Steel.,ok i will try .
565,i believe you will enjoy it,sure.
566,max steel,"i heard about that , but not sure."
567,it is a good movie.,"Thank you for your suggestion , i will try that movie soon."
568,what other movies do you like,quit
569,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Tf4sa0BVJVw Thanks for chatting with me!",
570,,
571,A16OH8XXYY0AAS,
572,hello! how are you doing today?,accept
573,"TASK COMPLETE, Thanks for chatting with me!",
574,,
575,A3S6OLEO6D950C,
576,"hello, i am here to help you looking for a movie trailer",[quit]
577,"TASK COMPLETE, Thanks for chatting with me!",
578,your welcome!,quit
579,"TASK COMPLETE, Thanks for chatting with me!",
580,,
581,A30Q56QAGVOHRP,
582,hello how are you doing,hi
583,i am here to help you find a movie trailer,avengers
584,sounds like a great movie to me,yes
585,what was the last movie you watched?,avengers endgame
586,I am recommending Like a Boss.,yes tell me
587,it has the main character play dota.,ok
588,it was pretty good.,ok 
589,is it ok that i recommend this movie?,yes ok
590,ok :) have a nice day,thankyou
591,Have you seen Bad Boys for Life?,nice one
592,nice chatting with you,me to
593,wow that is a old movie :) how old?,many
594,Have you seen Onward?,quit
595,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
596,,
597,A1WJ54G7U8B57Y,
598,hello! how are you doing tonight?,I am doing great. What about you?
599,"im great, thank you. im here to recommend a movie for you.","Oh, that is nice. Go on"
600,what is your favorite genre?,Horror movie
601,mine is too. what are the last movies that you watched?,I cannot remember but I know my favorite movie
602,"you know, i might just recommend a movie for you to watch, if you want. what was it about that movie you liked most?",I liked the story much more but I admire the actors
603,oh nice! i agree. what was the last movie that you watched?,You mean among the horror movies?
604,I would like to recommend Antlers.,I have not heard about it before. Tell me about its synopsis
605,"very tense, you will love it. it follows the story of a man that has visions after a night with a polar bear.",Wow! That is great. How can I get it?
606,"i think you can rent it on youtube, hulu or hbogo",Youtube will be great. I hope it is not very scary
607,"not at all, it has a lot of great little tidbits that will keep you wondering.",I cant wait to watch it. How many times have you watched it.
608,"once. i dont do repeats of movies unless theyre extremely good. so far, this movie was very good.","oh! But you just said, you used to repeat movies that are extremely good. Does that mean, the movie is not extremely good?"
609,i think it is. i think you will like it.,Accept
610,thank you! enjoy the movie!,Complete chat
611,what did you think about the ending?,Good
612,i agree. i also think it was very pretty.,accept
613,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
614,,
615,A2D2JX8R0QU9G4,
616,"hello, how are you?","fine, you  "
617,you like watching movies?,"yes, i like a movie very much"
618,I would recommend Like a Boss.,yeah
619,whats your favorite movie?,captain America
620,I would like to recommend Bad Boys for Life.,i dont like bad boys
621,do you like the captain america movies?,yes
622,I am recommending Onward.,ok
623,i can give you recommendation.,maybe
624,Have you seen The Kings Man?,"never, but i like you kings man"
