,bot,human
74,awesome!what is the latest movie you have seen in theaters?,Bad Boys for Life
75,the last movie i saw was frozen 2.,That was a good movie too!
76,"i also like bad boys for life!i watched frozen 2 the other day as well!if you like joker and marvel movies you should check out the new spiderman with tom cruise! it is more realistic and gritty than any other super hero film,the concept and the character are amazing!",Is there a trailer for that?
77,"the latest i have seen in theaters was lethal weapon:6. it was a good movie, but nothing special.i will definitely check out the new spider-man movie, the concept looks awesome.",[quit]
78,TASK COMPLETE,
79,,
80,A2P065E9CYMYJL,
81,hello,hii
82,hello,hello
83,hello there!,yes
84,did you like the movie?,yes
85,"yes, it was a good movie.",yes
86,what did you like most about it?,yes
87,that good!i really loved the dialogue,ok
88,hello.the dialogue is good and the story is interesting.what was your favorite part of the movie?,music
89,do you like bollywood music?,yes
90,"hello! im glad you enjoyed the movie, yes i do",yes
91,i agree with you on that.my favorite was when they are trying to decide who has the best hairstyle,ok
92,"i like kashyap films,they are very good and funny",yes
93,what did you like most about the movie?,ok
94,the plot was good.i liked how they connected several characters story with a common theme.,yes
95,can you recommend any similar movies to me?,ok
96,i liked the story and dialogue as well,yes
97,do you like hindi films ?,yes
98,yes i love hindi films,yes
99,what is the most recent movie you watched,yes
100,srks aamir movie is one,ok
101,bajirao Mastani,yes
102,Task Finished!,
103,,
104,AQ9Y6WD8O72ZC,
105,hello,hi
106,hi! what types of movies do you enjoy?,action movies
107,i love action movies!! what is the last action movie you watched and liked?,Skyfall
108,"did you like the original, or did you like the sequel more?",definitely the sequel
109,the sequel definitely is amazing!!,yes
110,got it,so what movie recommendation do you have for me?
111,"have you ever seen ""double tap"" with tom cruise?",No
112,yes i have seen it,Is it good?
113,no i havent but i would love to see it. would you recommend it?,i havent seen it either
114,its a bit intense but if you like thrillers its good,ok.
115,i definitely would recommend double tap it is a good movie,ok.
116,so would you like to watch this movie trailer?,yes
117,yes i would like to watch it,ok
118,"i will send the movie trailer, i hope you like it.",ok
119,i think you would like this movie.it is a thriller and action movie,i would like to see the trailer
120,thats great,paste me a link to the trailer
121,i got it,[quit]
122,TASK COMPLETE,
123,,
124,A3VHNIFFP8Y9H7,
125,"hi, im here to help you looking for a movie trailer.",good
126,what kind of movies are you interested in watching?,drama
127,what was the last drama that you watched?,davince code
128,"oh wow, that was quite a while ago.i think youd be interested in trainwreck?",no idea
129,i have never seen that drama but it sounds good! i would like a movie that will give me a good story. i like a good drama that i will watch multiple times. are there any movies that you have seen lately that you enjoyed?,ty
130,i can recommend some movie trailers for drama!,quite
131,i enjoyed hacksaw ridge with will smith,thats quite
132,hey there! hows it going?,good
133,fantastic! i hope you enjoy the movie. is there anything else i can help you with?,nope
134,ok. what do you like about drama?,nothing
135,"i like drama,  lots of drama",good
136,have you ever seen eternal sunshine of the spotless mind?,quite
137,i havent! im going to have to check it out. do you like comedy movies?,quite
138,i enjoy comedy movies!,me too
139,"oh,i actually havent seen that one. would you like me to recommend that movie?",quit
140,TASK COMPLETE,
141,,
142,A2OR46JV43TOJV,
143,hello there!,Hello
144,do you know what type of movies you would like to see in a movie theater,Action
145,i love action movies,Have you seen captain marvel
146,no i havent seen captain marvel yet,quit
147,TASK COMPLETE,
148,,
149,AEF74ZYJTTEIA,
150,hello,Do you know any animated movies?
151,"yes, i am a fan of cartoons",I enjoy movies from Japan.
152,well there are a lot of movies based on anime. there is one that came out this year with mia williams.,What movie is that?
153,mia williams,That doesnt sound like a movie.
154,mia williams is a movie based on an anime series.,"Oh, well Im not sure Id be interested."
155,well the movie is set in the future with futuristic weaponry and cars.,Do you know any other animated movies?
156,mia williams came out last year with riley reid and it was a good movie. my daughter loved it. do you enjoy animated movies?,"I am, can you give a recommendation?"
157,sure!,What would you recommend?
158,have you seen alladin?,"I have not, would you recommend it?"
159,you should see the trailer for alladin,I will!
160,oh cool thanks! i like animated movies but it depends what you like. i like comedy and action. but i am ok with romance and drama also,Youre recommending Aladdin right?
161,yes! its awesome!,[accept]
162,TASK COMPLETE,
163,,
164,A3U6IA3JUSFZ2M,
165,hello,hi
166,hello. i am here to help you look for a movie trailer,What movie trailer
167,hello!,tell
168,what movie is your favorite genre?,iron man
169,i love marvel movies! my favorite is avengers: endgame! i just watched it earlier today!,oh nice
170,oh nice! my favorite movies are action/adventure films. have you ever watched deadpool?,yes i am already watched
171,deadpool was great! i especially liked that there were jokes that went over the head of most people watching! do you like superhero movies?,yes i like superhero movies
172,what was your favorite part of deadpool? i would have to say the part with the giant purple dildo was hilarious. do you like other marvel characters?,in my favorite part of intervel scene
173,love captain marvel! captain america: winter soldier is my favorite.,also my favorite movies
174,i really loved winter soldier. it was the first marvel movie i saw in theaters! i think a few other marvel characters are great too! spiderman was great. do you like other superhero movies?,yes i like it thor
175,awesome! how about xmen?,X men very peworfull
176,"yes, i love those movies! especially the xmen! who is your favorite character in those movies?",X men 
177,i like xavier and magneto because i believe they are the most realistic portrayals of wizard-like superheroes.,nice
178,yes they are very interesting. would you like to watch this trailer for captain marvel?,yes i am watched
179,sounds great! let me find the trailer for that movie for you.,fantastic trailer\
180,good! i think you will enjoy it.,thank you
181,ok thank you so much for accepting this information i hope you enjoy the movie!,same to you
182,you are welcome. thank you!,thank you
183,youre welcome! i hope you enjoy the trailer.,yes sure i enjoy the trailer
184,great! it is a great movie and enjoy it with your family!,thank you so much
185,so do you think you will enjoy the movie?,fantastic beats
186,Task Finished!,
187,,
188,AJD65G9H2QUE9,
189,hello!,Hello
190,hello!,How are you?
191,great. just getting ready to relax at home.,"Me too, any ideas of what youre going to do?"
192,"yes, i have some great ideas for you!",What are they?
193,i am sure they are very creative and fun to do.i like doing these types of things,What are those?
194,"well, i have some ideas for relaxing at home, so you can experience some of those ideas yourself!",Go ahead
195,alright awesome. how are you doing today?,Im doing well
196,i am great thanks for asking!what did you do today?,I went to work now Im home
197,what kind of things do you enjoy to do for relaxation?,
198,"any kind of artistic activities is great for relaxation,but i particularly enjoy painting and drawing",Thats nice
199,"nice! i enjoy watching and listening to movies, especially the marvel ones!",I dont
200,the marvel movies are quite fun! what kind of music are you into?,Rock and rap
201,"i am into rock and rap too, although i am more into jazz, fusion and classical music",I hate classical
202,"i enjoy music as well. if you have not seen it already, please see the movie, the island",[accept]
203,TASK COMPLETE,
204,,
205,A1DH31FIHH5Y29,
206,hello i am here to help you looking for a movie trailer,yes
207,how are you today?,Im fine
208,i am great! what was the latest movie you saw in theaters?,plus one
209,"i saw interstellar, how about you?",yes
210,do you enjoy action?,"yes, Im really enjoy"
211,have you seen a movie with the same actors as in onei?,the boys
212,"oh yes, interstellar was amazing. have you watched the new joker movie?","yes, Im watching"
213,awesome! what did you like most about the movie?,full of funny
214,i liked the scientific aspect and how well they incorporated it into the film,more
215,joaquin phoenix is an amazing actor and was fantastic in that movie,he is a funniest actor
216,"did you ever watch the show ""better off ted"" it was a great movie",no
217,"wow i havent seen that movie before, the boysoh in interstellar is one of my favorite actors so im going to have to check that out.",okk
218,great choice!,ok
219,thank you!,welcome
220,"awesome! i am glad to hear you are going to check out the movie, i hope you like it",definetely
221,"thanks,i think ill",you are welcome
222,i also think you will like the trailer,yes
223,have a great day,you to
224,how old are you?,65
225,"30, great job on guessing that!",financial
226,"i am 30 yrs old, what was the last movie that you watched and really enjoyed?",nothing to lose
227,Task Finished!,
228,,
229,A3KF6O09H04SP7,
230,hello,"Hi.  Sometimes I like science fiction movies, but the plot needs to be complex and thought-provoking."
231,have you seen interstellar?,I have seen interstellar.  That was a great movie. I love Matthew McConaughey.
232,i think you would enjoy chaos theory as it focuses on the same issues you raised.,[accept]
233,TASK COMPLETE,
234,,
235,A1ROEDVMTO9Y3X,
236,"hi, i am here to help you look for a movie trailer",hi
237,what kind of movies are you into?,comedy
238,i like comedy movies.,thats cool
239,i like comedy movies too. what did you like from this movie?,they make you laugh
240,i loved that movie! tommy lee jones is such a funny actor,what is a good movie 
241,i like the trailer for billy madison,yes adam sandler is funny
242,adam sandler has always been funny. would you like to see a movie trailer?,accept
243,TASK COMPLETE,
244,,
245,A2J51BI7XS5ZYU,
246,hi there! what is your favorite movie genre?,Comedy
247,comedy is the best. i am personally a fan of mel brooks movies.,I dont like mel brooks movies.
248,well whats your favorite movie of all time?,Liar Liar
249,"im a mel brooks fan.i would like to recommend a movie titled ""buckets of blood"".",Okay. I accept.
250,"wow,thats a great movie!",[accept]
251,TASK COMPLETE,
252,,
253,A3TS15DY3N8JHE,
254,"hello there, i am kari",hello. I am Jesse
255,who are some of your favorite actors?,I like a lot. Kate Mulgrew and Brent Spiner are awesome
256,i think you should watch motherlode,accept
257,TASK COMPLETE,
258,,
259,A1G187YBG0DVMQ,
260,hello,How are you?
261,"good, thanks!",Glad to hear it.
262,im fine,Do you like horror movies?
263,yes i do. what kind of movies do you enjoy?,I like horror movies.
264,any new ones coming out?,Im not sure. have you heard of any?
265,i like horror movies too. i saw the new scream movie yesterday and it was terrifying.,Oh good. Did you like it?
266,i have heard of scream! thats a good one. i enjoy horror as well. what was your favorite movie of 2016?,accept
267,TASK COMPLETE,
268,,
269,A2Y87M8V0N1M6P,
270,hello,HI
271,hi how are you?,FNE
272,"im great, i am here to help you look for a movie trailer",YA
273,im good. what kind of movies do you like?,ACTION
274,i like action and drama,i like action movies mor
275,i like action and drama,quit
276,TASK COMPLETE,
277,,
278,A1C9ZHH1PV21PG,
279,hi! how are you today?,Good and you?
280,im good. i was hoping to get some recommendations for movies. are you looking for something specific?,I am looking for comedy movies
281,do you like sienfield?,I have never heard ogf it
282,oh it is great movie.you would like.,what is it about?
283,its about a lonely man whose girlfriend left him for a man with more money. it was directed by marc maron and stars bill murray.,[accept]
284,TASK COMPLETE,
285,,
286,A2JDYN6QM8M5UN,
287,hello,Hi there!
288,how are you?,"Im doing well, how are you?"
289,"fine, would you like to talk about movies?",Absolutely
290,what kind of movies do you enjoy?,I like ones with a lot of action and adventure
291,i like action and adventure too,Do you know of any good action movies?
292,mimic is a action movie and has plenty of action.,accept
293,TASK COMPLETE,
294,,
295,A34CPKFZXBX1PO,
296,hello.,"Hi, is there a good dramady out now that I could see?"
297,not really,How about a good comedy?
298,what is your favorite comedy?,40 year old virgin
299,de niro is my all time favorite,Great.  Is he in a comedy thats out in theaters right now?
300,"yes, it is out in theaters now.",Whats the title of the movie?
301,john oliver - chappel show,"I think thats a TV show, but Ill try it out anyway.  Thanks."
302,chappel show is a show with johnny depp.it is very funny.,[quit]
303,TASK COMPLETE,
304,,
305,A2TJBRLYCPMTNH,
306,hello how are you?,i amfine. how are u?
307,i am also fine,ok then
308,"i am doing great, thank you for asking",ok thank u
309,im good too,i am also good
310,i am fine thank you,ok thank u
311,im fine,ok
312,good,ok
313,i am well,i am alwo well
314,good to hear that,yes
315,i am great also.what type of movies do you enjoy?,horror
316,horror movies are great and have a good plot,ok
317,horror movies are great,thank u
318,yes i do like horror movie too,yes
319,what is your favorite horror movie?,some comedy and horrt
320,ohh that is a very nice movie.,ok
321,i like horror comedy movies,ok 
322,awesome,thank u
323,youre welcome.,thank u
324,mmmm i think drew barrymore in love actually is my all time favorite horror movie,ok
325,thats good!did you like black swan?,ok
326,i think youll like a classic my friend,yes like
327,Task Finished!,
328,,
329,A107RJSS561Y7R,
330,"hello, i am here to help you look for a movie trailer.",yeah suggest me
331,what are some of your favorite genres?,horror
332,horror movies are always good to watch,any movie that you suggest
333,are there any horror movies that you have seen in the past that you liked the best?,conjuring
334,great choice!its definitely a movie that really makes you feel the fear. what was the last horror movie that you watched?,accept
335,TASK COMPLETE,
336,,
337,A3KF6O09H04SP7,
338,hi! how are you today?,good
339,i am also doing well! i hope you are doing well as well.,cool
340,hi! im doing well. are you looking for a movie trailer?,yes
341,anything from a good director,how about Alejandro Jodorowsky
342,that is a great choice! i love jodorowskys mad man!,is it a movie?
343,yes it is.,when did it come out?
344,it came out in 2008. what was the last movie you saw from him?,santa sangre
345,"oh,that was a great movie.","yea,it was very interesting"
346,i think it was santa sangre. thats a great movie!,yes!
347,santa sangre. that is a great movie!,when did that come out?
348,jodorowskys dark side was the movie in 2008,when did santa sangre come out?
349,im not sure when it came out but it was amazing! have you seen revelations?,"no,what is it?"
350,"sangre, is a real thriller, not sure when it came out tho.","oh,what is it about?"
351,its an austrian director about the fate of the german scientist called franz ferdinand. has a good mix of plot and suspense.,interestings
352,"jodorowskys dune came out in 2011! it has a similar story of his life in the year 1968, i bet you would like it.",il watch it!
353,cool! so would you like to watch this movie trailer?,yes
354,"well its basically a reenactment of his life, it is really awesome to see it",ok
355,he is a really interesting person.i saw the movie a while back but i remember that it is a story of the persons experience following the death of his wife.its sad but really unique!,show me the trailor 
356,have you seen the trailer for it?,"no,show me!"
357,oh i think i found it!,cool
358,okay i think i have it,ok
359,Task Finished!,
360,,
361,A2NA6X1SON3KFH,
362,hello,hi
363,what are your favorite types of movies?,Westerns
364,rocky horror picture show!,I saw that
365,me too! was it a good movie?,yeah it was good
366,"good, i will have to check it out",You should
367,did you see black panther?,yes
368,thats great to hear!i didnt watch black panther yet.is it a good movie too?,it is good
369,i would recommend you watch it. it was really good movie.,yeah
370,black panther is excellent,yes
371,great.i really liked it,me too
372,oh nice!,yeah
373,the director is mike judge and the cast is amazing,yes it is
374,got it,yeah
375,yes it is!!it was a awesome movie!,It was great
376,i have to go i am glad i could help you,thanks
377,who is the best actor in this movie?,Chadwick Boseman
378,hmmm i would say kevin hart!,no
379,i have watched the movie.the movie was good.,yeah
380,r/ihadastroke,i think so
381,have you ever seen starwars before?,yes
382,i have seen all of them.i think the best actor is matt damon.,I guess
383,Task Finished!,
384,,
385,A15VRRHQCLJHC8,
386,"hello, im here to help you",ya
387,what kind of help are you thinking of?,friendly chat
388,what do you like to do?,quit
389,TASK COMPLETE,
390,,
391,AE2SPP0FXRQA1,
392,hello!,hey hey how are ya
393,i am good,"me too, I am looking to watch a movie with my wife tonight"
394,what kind of movies do you like?,"she likes drama movies, and I like them okay I guess"
395,sounds like a nice wife. would you say you are interested in thrillers?,"thanks, and yes we are both very interested in thrillers."
396,ah so you are a fan of thrillers then?what was the latest movie you have watched with her?,we watched Come Play the other night
397,i watched come play with her,yeah. Do you have a suggestion for a movie
398,have you watched coco?,"No, is it good?"
399,"i thought it was good, very intense. i watched the first coco in theaters years ago. i think the next movie im going to see is the new fast and furious movie.",i will try coco thanks!
400,"nice! i think you might enjoy the trailer for this movie. the acting is good. and it is a thriller, not a action or horror",ok
401,i will check it out. have you seen any of the alien movies?,"a long time ago, I will try coco movie tonight, thanks"
402,"no, i havent. i need to look into them more. i heard there was going to be an anniversary series coming out soon.",accept
403,TASK COMPLETE,
404,,
405,A2NUGRVI6IEGN7,
406,"hello, i am here to help you find a movie trailer",quit
407,TASK COMPLETE,
408,,
409,A2VO8C41JJIQY9,
410,"hello, im here to help you!",hi
411,what types of movies do you like?,"Action, drama and thriller movies. any suggestions"
412,have you seen scarface?,yes i did! i love nicholas cage
413,his acting is great. i like dramas and action,oh we are same!
414,"hi, i agree. would you like a movie about nicholas cage?",yeah definitely
415,"ah, one that i watched recently was johnny english. what did you like from that movie?",I didnt like it much tbh
416,johnny english was okay but nothing to rave about. the script was good but the acting was nothing to write home about. what other action movies do you like?,"A-team, marvel movies"
417,oh yeah action movies are great! the a-team is my favorite,really? do you any similar movies?
418,"i like older movies like luke cage, and frank castle.",nah ! im not a big fan of old movies. theyre boring
419,got it. have you ever seen mother! its a little bit similar to frank castle in that its a man who does not like his family acting out and taking them for a ride.,nope
420,have you ever seen john wick?, yes 
421,awesome! thats my favorite movie! any other movies you like?,loved the series!
422,i liked them both. but i think the american version of john wick 3 was a little better. how about you?,I liked all the 3 movies!
423,"i have not seen john wick 3 yet, im planning to watch it next week. there are a few other movies that i like, such as horizon zero dawn. are you a fan of high fantasy type movies?",you should watch it! the climax is great  
424,sounds like i should watch it. have you ever seen chronicles of riddick?,nope. how is it?
425,its a little violent. but very good.i would recommend it.,when was it released?
426,"i have not seen chronicles of riddick, so i cant compare the two. i saw john wick 3 a couple of months ago, so i would say that was very recent",accept
427,TASK COMPLETE,
428,,
429,A1KDT32ADI2J8U,
430,"hello, i would like to help you with finding a movie trailer",So nice of you. What are are the movies
431,shazam is a movie,did you watch
432,i have watched the movie called the last fight,so nice. thanks for recommanding
433,"the last fight is a movie with keanu reeves, bill murray and dwayne johnson.",accept
434,TASK COMPLETE,
435,,
436,A2N9U74YIPDQ9F,
437,"hi, im here to help you looking for a movie trailer",great. do you have a recommendation?
438,what kind of movies are you interested in?,action and science fiction
439,i like action and sci-fi,what is your favorite movie then?
440,all of them,ok. anything specific?
441,im into action movies and sci-fi,what is the best action movie?
442,"i have watched lots of action and sci-fi movies, but my favorite is the gorillas",what is the gorillas about?
443,a woman joins a gang and tries to take them down. i think thats about all you need to know.,"oh, ok. what year was the movie made?"
444,mid-1980s,i dont think id like it. can you recommend a newer action film?
445,i think bad boys 3,"oh, yeah. that would be great. i loved 1 and 2"
446,"i would recommend the movie john wick 3, has some action in it",accept
447,TASK COMPLETE,
448,,
449,A16OH8XXYY0AAS,
450,"hello, how are you?",accept
451,TASK COMPLETE,
452,,
453,A272X64FOZFYLB,
454,hello!,hello
455,do you like soap?,accept
456,TASK COMPLETE,
457,,
458,A2VFEDAK5C1E1O,
459,hello!,Hi
460,what kinds of movies do you like?,Sci-fiction
461,i like sci-fi as well. what was the latest sci-fi movie you have seen?,Star war
462,have you seen iron sky?,"No, is it interesting?"
463,"i havent seen iron sky yet, but ive heard a lot of good things about it. it is sci-fi, though, and definitely interesting. i cant remember the last sci-fi movie ive seen, but its not one of those avenger types that pop up all the time.",okay so can you make another recommendation
464,"sure,how about iranian film irecall 2001: a space odyssey",what is the movie all about
465,"the movie has to do with colonel holliday and his story.this is a movie that i havent seen but want to watch.the director is michael bay,so i would trust him.if you are looking for movies in the space genre i would recommend interstellar",so what is your best recommendation for me
466,interstellar,accept thanks you
467,space odyssey,accept
468,TASK COMPLETE,
469,,
470,A2V27A9GZA1NR2,
471,"hello, i am here to help you look for a movie trailer.",no
472,what kind of movies do you like?,anything
473,i like scifi movies,ohh i saw the movie
474,what did you like most about the movie?,everyone interst 
475,did you like the movie overall?,yes
476,the soundtrack was fantastic and the acting was great too,"wow,lovely,fightly"
477,wow!i didnt even know you are into that kind of movie!what was your favorite part of the movie and in what category it fit best?,quit
478,TASK COMPLETE,
479,,
480,A1PAMVTKGCXSWQ,
481,"hello, how are you doing today?",Im good
482,good thanks,How are you?
483,"im good, just watching a movie.","Sweet, which one?"
484,what movie are you going to watch?,"Im not sure yet, what are you watching?"
485,"i am just finishing off the last of the series, house of cards,","Oh sweet, is it any good?"
486,oh yes it is,Whats the general idea of the show
487,"its very good. its a drama with many funny parts, but also with serious moments",Oh that sounds interesting
488,have you seen the joker?,"I have, it was awesome"
489,"yes it was, very interesting to see a show like this.",yeah it was a really interesting movie
490,is there anything you disliked about the movie?,"Honestly, nothing that I can think of comes to mind"
491,i disliked the overtones and obvious themes of the movie being the downfall of society,"I can kind of see that, but the idea of that has been around for quite a while in the marvel universe"
492,yeah i agree. overall i enjoyed it.,"sorry, dc, not marvel"
493,oh gotcha.yeah i know alot of people werent crazy about it.but i think you should give it another shot!,"alright, it sounds interesting, ill give it a shot "
494,have a good day!,you too!
495,same to you!,Accept
496,thanks!,accept
497,TASK COMPLETE,
498,,
499,A36W9YOEXLJLBT,
500,hello!,Hi!
501,hello,Id like to see a scifi movie.
502,which scifi movie would you like to see in particular?,Can you recommend a movie to me?
503,"scifi movies are my favorite, so of course! what is your favorite scifi?","Blade Runner is my favorite, as well as Star Wars."
504,my favorite is star wars.lucasfilm is the most successful entertainment production company ever!blade runner is a good movie as well.do you prefer the old or new one?,The old ones by far.
505,i like both of them. the new one is more funny while the old one has a bit more detail.,"Yeah, thats a good way to put it."
506,"the new one looks better in my opinion, especially from the blade runner interior scenes, like how its full of life, its really cool.","Both are equally good, which is impressive since they were made 35 years apart."
507,do you think you would like the live action blade runner movie?,"Yes, I would."
508,i havent seen it yet but im really interested in it.i like all the voice actors from the original.,Could you recommend a movie for me to see?
509,"well, if you liked the voice acting from the original, you will also like this one.i know it looks a bit darker in the trailers, but its actually really bright.its a movie full of action and drama and has a really interesting story line.",Sounds good. I think Ill see it!
510,awesome! im glad to hear that!,[accept]
511,TASK COMPLETE,
512,,
513,A2JQI6KKCE0O9V,
514,hello! i hope youre having a great day.,absolutely .
515,great! thank you!,welcome always.
516,thank you!,My pleasure.
517,thank you!,quit
518,TASK COMPLETE,
519,,
520,A16OH8XXYY0AAS,
521,hello how are you today?,"fine, how are you"
522,i am well,accept
523,TASK COMPLETE,
524,,
525,A3S6OLEO6D950C,
526,"hi, have you been watching movies lately?",quit
527,TASK COMPLETE,
528,"great, do you like movies?",quit
529,TASK COMPLETE,
530,,
531,A30Q56QAGVOHRP,
532,hello,hi
533,how are you?,fine
534,i am doing well,ok nice
535,i am doing well,quit
536,TASK COMPLETE,
537,,
538,A1WJ54G7U8B57Y,
539,"hello, i hope youre having a great day!","Hi, I am doing great. What about you?"
540,"i am, thank you for asking!",You are welcome. Do you like Horror movie?
541,i like horror movie! have you seen last christmas?,Not really. What is it like?
542,horror movie is great! is there anything you want to know about it?,I mean about Last Christmas.
543,"last christmas? it is a movie directed by dave bautista, it is about an alien invasion.",Alien invasion! Bravo! I like horror movies that involves alien. Tell me more about it.
544,it has jennifer lopez in it. its a suspenseful movie that you will have to think about for a couple of days after seeing it! you will never forget it!,God bless you for recommending this movie. Where can I access it?
545,got it,Accept
546,have you accepted the movie recommendation?,"Yes, Accepted"
547,"thanks, my friends and i watch the movie every year in our customized screening room, you should definitely see it in theaters!",ok. accept
548,are you and your friends going to see the new hellraiser?,No
549,its out now!,Ok
550,hell yeah i hope you and your friends like the movie!!!,Yes we do
551,i actually havent seen it yet.i have it reserved but i havent gotten a chance to watch it yet.i am so glad you and your friends are going to watch it!,alright
552,thank you very much!,You are welcome
553,so do you want to see the trailer?,Not now. Accept the last christmas
554,alright!!!,complete chat
555,sounds good. thanks again!,you are welcome
556,are you a movie fan in general?,"Yes, but my favorite is horror movie"
557,"yeah, horror is great! i love to scream and jump when i watch a horror movie!!",accept
558,TASK COMPLETE,
559,,
560,A2D2JX8R0QU9G4,
561,"hello, i am here to help you looking for a movie trailer",hai 
562,what type of movies are you into?,spider man 
563,"spiderman, i like it.",also me
564,i like marvel movies as well,yes
565,spiderman 3 is the best spiderman movie!,yes definitely
566,"spiderman 3? im not sure what that is, the best movie i can think of is secretary!!!1!!1","but i like the movie very much, the action and marvel movie "
567,"if you like spiderman 3, then you should check out secretary!!!!1!!1 which is a very similar movie but starring tom cruise",ok
568,yes i will recommend that movie for you,thanks for helping 
569,awesome!!!i love tom cruise,yea i love to tom cruise
570,spiderman: forward history?,Spiderman is helping for people
571,"awesome!i heard its an awesome movie!!!it has some big stars in it,like tom cruise and tobey maguire!!!i think you will love it!!!",ok
572,i will go check it out!!!i love tom cruise!!!,thanks
573,glad i could help,"nothing, i need to help i will ask for me"
574,"spiderman: into the spiderverse  is an animated movie!!!!tom cruise is in it!!!i think you will love it!!!its about him trying to save the world after a terrible, horrible incident!!!it also has two other big stars in it!!!you will love them!!!!",yes i will them both star
575,that sounds great!!!thank you very much!,welcome.
576,thank you very much i have been waiting to watch this movie,yes i will wait and the movie
577,im glad i could help!!!,no sir
578,"oh, thank you for the information!!! im glad i could help!!!",ok
579,ok!!you can watch it!!!,thanks
580,if you like animated movies you will like the other two movies!!!,"wonder woman, frozen two"
581,yes i love them,also love them
582,Task Finished!,
583,,
584,A2YCMT5BPA0AG9,
585,"hello, i would love to help you find a good movie trailer to watch.",Sounds good
586,awesome. what kinds of movies are you into?,Horror
587,im into action and horror. whats your favorite horror movie?,The cabin in the woods
588,"horror movies are awesome, i enjoy most of them. jennifers body is my favorite horror movie",I have not seen that
589,"oh wow, jennifers body? that movie has a 94% on rotten tomatoes! have you ever seen annabelle 2?",I have seen Annabelle 2
590,have you ever seen annabelle 2: love actually?,I dont think so
591,oh its so good! i highly recommend it!,I will check it out
592,"i love the original annabelle, have you seen it?",I have seen Annabelle
593,have you seen annabelle part 2?,I have seen Annabelle part two
594,"oh nice, have you seen the movie trailer for that movie?",I have not
