,bot,human
101,what did you like about that movie?,It is action packed
102,yeah. i agree. what did you think about avengers: endgame,Ive seen it. Its a nice movie too
103,I would like to recommend Like a Boss.,ok
104,"i would like to recommend one of our most recent movies, like a boss",nice
105,how about this movie ?,i would like to watch it
106,ok i will recommend,ok
107,"OK, how about Bad Boys for Life?",ive seen it
108,ok you can recommend another one,ok
109,Would you prefer to watch Onward?,yes
110,ok i have recommended it.,thanks
111,i also recommend,thanks
112,you are welcome,[quit]
113,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
114,,
115,A3VHNIFFP8Y9H7,
116,hello there,hi there
117,what kind of movies do you like,thriller
118,bad boys for life is one of my favorites. what about you?,I too like movies 
119,im glad! movies are amazing.,yeah
120,i cant wait for underwater to come out,no idea
121,is a movie you are looking forward to seeing in the theater.,I dont like that 
122,knife out,quit
123,"TASK COMPLETE, Thanks for chatting with me!",
124,,
125,A2OR46JV43TOJV,
126,hello,hello
127,hello,have you seen avenger endgame
128,no i have not.,quit
129,"TASK COMPLETE, Thanks for chatting with me!",
130,,
131,AEF74ZYJTTEIA,
132,"hello, how are you?","Hey there, Im looking for a movie right now."
133,what kind of movies do you like?,Anything with Bill Murray in it.
134,I am recommending Like a Boss.,Is Bill Murray in Like a Boss?
135,"no, he just likes to look like a boss. do you like to travel?","I do, but thats irrelevant."
136,a traveler is like a man on the go. thats why i ask. how often do you travel?,"Occasionally, can we get back to the movie conversation?"
137,"yes, im sorry about that! do you like movies about people on the run?",I could go for one of those.
138,do you like newer movies or older movies?,Im fine with both.
139,do you prefer newer or older movies?,I guess Ill pick newer then.
140,thank you. enjoy the movie!,But what movie are you recommending?
141,Have you seen Bad Boys for Life?,"No, but Im not planning to right now. Do you have anything else?"
142,its a great movie. my wife and i watched it together. we laugh a lot. you will like it.,"Fine Ill take it,"
143,did you see the sequel?,[accept]
144,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
145,,
146,A3U6IA3JUSFZ2M,
147,hello there! im here to help you find a movie trailer,quit
148,"TASK COMPLETE, Thanks for chatting with me!",
149,,
150,AJD65G9H2QUE9,
151,"hello, i am here to help you looking for a movie trailer.",fly girls
152,what type of movie do you like to watch?,Adult sex movies 
153,do you prefer older movies or newer?,old movie
154,do you prefer newer movies or older?,Yes
155,I am recommending Like a Boss.,Okey
156,"wow ,what else do you like to watch ?",fly girl
157,fly girl my friend. love it.,Complete Chat
158,what have you seen from the past ?,born movies
159,I would like to recommend Bad Boys for Life.,Nice
160,very nice,Complete Chat w
161,I would recommend Onward.,Complete Chat
162,nice,Complete Chat
163,complete chat,Complete Chat
164,Have you seen The Kings Man?,Complete Chat
165,have you seen the kings man,Complete Chat
166,Have you seen Trolls World Tour?,Complete Chat
167,complete chat,Complete Chat
168,Have you seen Trolls World Tour?,Complete Chat
169,completed,Complete Chat
170,have you seen this movie?,Complete Chat
171,have you seen the trailer?,Complete Chat
172,Task Finished!,
173,,
174,A1DH31FIHH5Y29,
175,"hello, i am here to help you looking for a movie trailer",no thanks
176,how about a movie trailer?,advertisement of movis
177,what about a movie that you really want to watch?,no
178,what about a movie that you watched at home or in the cinema?,not
179,what about movies that you watched in a theater,quit
180,"TASK COMPLETE, Thanks for chatting with me!",
181,,
182,A3KF6O09H04SP7,
183,"hello, how are you doing?","Fine, thanks.  Can you recommend a moved directed by Clint Eastwood?"
184,i think you should give him a chance,[quit]
185,"TASK COMPLETE, Thanks for chatting with me!",
186,,
187,A1ROEDVMTO9Y3X,
188,hello,hi 
189,hello,can you recommend a comedy
190,Have you seen Like a Boss?,yes 
191,it is the best. check it out.,accept
192,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
193,,
194,A2J51BI7XS5ZYU,
195,"hello, im here to help you look for a movie trailer.",Thanks. Any recommendations on comedies.
196,like a boss,[accept]
197,"TASK COMPLETE, Thanks for chatting with me!",
198,,
199,A3TS15DY3N8JHE,
200,hello how are you doing?,I am well and you?
201,im doing great! thanks for asking,sure. do you like movies?
202,i do. what type of movies do you enjoy watching?,I prefer horror and sci-fi
203,what was the last movie that you watched?,Gretel and Hansel
204,wow! i actually have not seen that movie yet.,you should watch it. its decent
205,i think i will. is there anything else you would like to talk about?,do you have a movie recommendation for me?
206,I am recommending Antlers.,thank you
207,you are welcome,accept
208,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
209,,
210,A1G187YBG0DVMQ,
211,hello,How are you?
212,im great! how are you?,good
213,what type of movies do you like?,Documentaries
214,lol... thats one of the kevin hart movies.. have you seen it yet?,No I havent
215,that is a good movie.,Im sure it is. I like movies about true life.
216,i havent seen any like that yet. have you?,quit
217,"TASK COMPLETE, Thanks for chatting with me!",
218,,
219,A2Y87M8V0N1M6P,
220,hello,hi
221,how are you?,fine
222,what type of movies do you like?,action
223,whats your favorite action movie?,alita
224,do you like a more realistic type movie?,yes
225,I would recommend Like a Boss.,very interesting
226,i dont have any recommendations for you.,quit
227,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
228,,
229,A1C9ZHH1PV21PG,
230,hello! how are you?,Im well 
231,how are you doing today,Im doing good and you?
232,i am doing great,Thats awesome!
233,have you seen any good movies recently,I have watched  The Devil Wears Prada
234,what did you think of it,I loved it!
235,it was amazing!!,Yes
236,great! have you watched any other new movies recently?,Yes I watched Coco not too long ago 
237,any favorite actors?,I like Brad Pitt
238,ok that is interesting to hear,what about you?
239,I would like to recommend Like a Boss.,what is it about?
240,"its about Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",okay 
241,I recommend the movie Bad Boys for Life.,[accept]
242,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
243,,
244,A2JDYN6QM8M5UN,
245,hello,Hi
246,how are you doing today?,im doing great
247,that is great to hear,So can you reccomend me any movies?
248,i recommend you watch,?
249,what is your favorite movie,Avengers
250,what is your favorite avengers,The first one
251,ok that is great.,"Thats why I like it, lol"
252,ok have a nice day,quit
253,"TASK COMPLETE, Thanks for chatting with me!",
254,,
255,A34CPKFZXBX1PO,
256,"hello, how are you?",YELLOWBOR FINE
257,"great! so, i am a big movie fan. whats your favorite movie?",JEENS
258,same! i love jeens! whats your favorite kind of movie?,ANGRYBIRDS
259,"oh, thats a good one. i think my favorite movie is either spaceballs or dead poets society, how about you?",One of my favorite movies is A Beautiful Mind.
260,great movie! i recommend you check out life aquatic if you havent already.,That movie got bad reviews.  How about a drama?
261,Would you prefer to watch Like a Boss?,No. thats a comedy.  I want a drama.
262,"onward is a drama that came out this year and it is very unique. it is a true story about some kidnapped people who were brought to canada to be placed in solitary confinement. it is very sad, but very, very interesting.",[accept]
263,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
264,,
265,A2TJBRLYCPMTNH,
266,"hello, how are you?",i am fine. how are you?
267,i am great! im here to help you find a movie trailer.,yes
268,what kinds of movies do you like?,horror movie
269,what is your favorite genre to watch?,gsp watch
270,i think abigail breslin did an excellent job in that movie.,ok thank u\
271,antlers,ye
272,hello. would you like to see the trailer for antlers,yes
273,a fun movie! i think you will like the turning,yes
274,do you want the trailer for the antlers or the turning,ya sure
275,i will send the trailer for underwater,ok thank u
276,I would recommend Antlers.,yes very like
277,ok great,thank u
278,thank you,ok
279,Have you seen Like a Boss?,yes
280,what movie are you looking for?,comedy movie
281,ok well that sounds good,thank u
282,ok have a good night,good night
283,you as well,ok
284,ok thank you.,thank u
285,you are welcome,ok
286,ok thank you for chatting with me.,same thank u
287,Task Finished!,
288,,
289,A107RJSS561Y7R,
290,"hello, how are you doing?",hello i am good
291,what kind of movies do you enjoy watching?,horror
292,have you ever watched the movie mystery breslin that came out last year,no i will try
293,antlers,accept
294,"TASK COMPLETE, Thanks for chatting with me!",
295,,
296,A3KF6O09H04SP7,
297,hello,hi
298,hello,hey
299,how are you,im good and yourself?
300,i am well,i want to watch a movie
301,I would like to recommend Like a Boss.,are there anything else?
302,no but if you do not like my recommendation i am not in it for the recommendation i am in it to win it,i dont like it
303,i am sorry i can recommend something else.,yes please
304,ok let me see what i can find,i like comedies 
305,I recommend the movie Bad Boys for Life.,how about a horror movie?
306,"no worries, i think abigail breslin jessica henwick karen egan the new mutants",which movie is this?
307,jessica henwick karen egan the new mutants,thats not a horror movie
308,it looks pretty good. it stars jessica henwick the new mystery movie is good,i am looking for a horror film
309,zombieland: double tap movies is pretty good. it came out in 2015,who was in it?
310,mystery film,is it funny also?
311,it is very funny.,and scary?
312,scary,"cool,thank you"
313,very welcome.,i will watch zombieland: double tap
314,do you want me to recommend another movie?,"no thank you,that one is good!"
315,I would recommend Antlers.,what is it about?
316,its a classic.,what is the synopsis? 
317,"to sum it up, a man finds out he is dying, and so he decides to die a warriors death at the tender age of 50.",[accept]
318,Task Finished!,
319,,
320,A2NA6X1SON3KFH,
321,hello,Hello
322,what type of movie do you like to watch?,Dramas
323,i like bloodshot,What is that about?
324,it is about a self-aware cybernetic body that is able to create a working environment for humans.  this body has the ability to fire a bolt of lightning from its fingers.,I see
325,it is the turning,I dont like those type of films
326,which type?,The first one you mentioned
327,underwater the sequel. it is the best.,What is that about?
328,"it is about After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",i see.  That might be interesting
329,Would you prefer to watch Bloodshot?,"No, I would rather watch the Underwater movie"
330,what about bloodshot,"No, I dont think I would like that one"
331,"okay, what about",What about what?
332,I would recommend Like a Boss.,I have seen that already
333,"ok, so what about bloodshot","No, I dont want to see Bloodshot"
334,i will recommend like a boss.,"Yes, but I have seen it"
335,like a boss.,No thank you
336,like a boss,"Okay, lets see like a boss"
337,okay.,Good
338,okay have a nice day,Thanks
339,"okay, have a nice day",You too
340,it was nice talking to you today,Same here
341,nice to talk to you too,Nice talking to you too
342,Task Finished!,
343,,
344,A15VRRHQCLJHC8,
345,hello,hi
346,how,how are you
347,im great today,here also
348,what kind of movies do you like,comedy
349,what was the latest comedy you have watched?,Badboys
350,bad boys 3 was a good one. do you like keanu reeves?,so nice
351,yes i do like matthew goode,QUIT
352,"i have not seen that one yet, but have heard about it. matthew goode in that right?",YES
353,i think i need to see that one as well,QUIT
354,onward it is then. good night,GOOD NIGHT
355,good night,QUIT
356,good night,quit
357,"TASK COMPLETE, Thanks for chatting with me!",
358,,
359,AE2SPP0FXRQA1,
360,"hello, how are you doing today?","I am good, just looking forward to a night with my kids. I think we will watch a movie and pop some popcorn"
361,so a typical kids movie night,yeah pretty much. They like action movies
362,thats pretty fun. my kids like that too.,what have you watched with them lately?do you have any suggestions for a movie tonight?
363,theres so many great ones coming out these days. how old is your daughter?,"i have two sons, 11 and 13"
364,they are getting too old. my son is 10,yeah. that is a good age
365,what do you like to watch?,action movies mostly
366,that is a good movie. i have seen it,can you recommend anything?
367,I would like to recommend Avengers: Endgame.,ok awesome thanks
368,no problem,accept
369,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
370,,
371,A2NUGRVI6IEGN7,
372,hello! how are you?,fine
373,"okay, do you enjoy movies?",yes
374,what was the last movie you watched?,Artemis fowl
375,oh nice. i think that was based on a book.,yes
376,"how about movies, what movies have you watched recently?",the accountant
377,you like movies?,quit
378,"TASK COMPLETE, Thanks for chatting with me!",
379,,
380,A2VO8C41JJIQY9,
381,hello! i am here to help recommend a movie for you. how do you feel about a new movie?,Hey! hows it going?
382,pretty good. how about you?,not bad. just bored lol
383,what is the last movie you watched?,um..I watched the departed 
384,what did you think of it?,it was a good movie. Jack Nicholsons acting was amazing 
385,do you like movies with nicholson?,oh yeah! so i have not watched his many movies
386,i suggest the excellence of charm,is it an old movie?
387,it came out in 2015,its kinda new then
388,it is a great movie,what is it about?
389,it is about a married couple,is it a dram movie ?
390,no it is not a dramedy,drama movie /
391,ok i have this film in my memory,which one?
392,I am recommending Like a Boss.,nah. it sounds boring
393,how?,I just watched its trailer 
394,who did you like better?,salma hayek
395,i like her too. i watched that movie again recently.,can you suggest me any of her movie? I was her fan in college 
396,not really. i havent seen a lot of her movies.,ok thats fine
397,thank you so much.,quit
398,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
399,,
400,A1KDT32ADI2J8U,
401,hello,"Hi, how are you"
402,im great. did you like the movie?,Yes. I love so much
403,"yeah, me too. what is your favorite movie?",Scoob. It is very comedy
404,yeah i like comedy too,Ok. What was movie you have watched last
405,I am recommending Like a Boss.,accept
406,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
407,,
408,A2N9U74YIPDQ9F,
409,"hello, i am here to help you find a movie trailer.",great. what can you recommend
410,well i could recommend something more like a comedy or action movie,i love action
411,what is the latest movie youve seen?,9.5 with the rock
412,that is a great movie. one of my kids loves avengers: endgame,"oh, yeah, that was a great movie"
413,"im an action movie buff myself. do you prefer old action movies, or new action movies?","either, but probably new better"
414,I am recommending Avengers: Endgame.,ive already seen it. can you recommend something else?
415,what about,"maybe something about space, like a science fiction movie"
416,I am recommending Like a Boss.,what is that about?
417,like a boss,what type of movie is it?
418,like a boss,quit
419,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
420,,
421,A16OH8XXYY0AAS,
422,hello!,accept
423,"TASK COMPLETE, Thanks for chatting with me!",
424,,
425,A272X64FOZFYLB,
426,"hello, how are you doing today?",i am good
427,are you looking for a movie recommendation or you just looking for something to watch?,comedy movie
428,what was the last comedy you watched?,ripper
429,ripper it was a good movie.,accept
430,"TASK COMPLETE, Thanks for chatting with me!",
431,,
432,A2VFEDAK5C1E1O,
433,hello how are you?,Im doing fine today and you?
434,i am great. just watching some movies. which ones your favorite?,The walking Dead
435,i love the walking dead! its my favorite series to watch. who is your favorite character?,Rick and carol
436,i like them too.,what did you like about the movie
437,what about you?,I like the concept of the movies and all the character
438,the movie is cool. its a sequel to the first one. what other movies do you like?,Resident Evil
439,yeah me too. i liked the resident evil movies.,Is very amazing
440,there was also the third one that came out in 2002,yeah I have seen that one too. 
441,I would like to recommend Like a Boss.,is it a lovely movie
442,yes. i think you will like it,accept
443,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
444,,
445,A2V27A9GZA1NR2,
446,hello! i am here to help you looking for a movie trailer.,no
447,what is the last movie you have seen?,finish chgat
448,what type of movies do you usually like?,finish chat
449,what did you like and dislike about this movie?,quit
450,"TASK COMPLETE, Thanks for chatting with me!",
451,,
452,A1PAMVTKGCXSWQ,
453,hello,Hey there
454,what kind of movies do you like?,I like action and comedy movies
455,bad boys for life is such a great movie. super-action-packed,Whats it about?
456,its a sequel to the movie street racing which was a hit in 1991. they race cars in the street with no where to go. very real and fun movie.,Oh yeah that does sound interesting
457,i believe onward is another good one about a young cop working on his talent. i could be wrong though,Both of those did seem wrong
458,oh no. i hope i didnt recommend something that turned out to be garbage. do you like the actor that plays in this movie?,Which movie?
459,Have you seen Like a Boss?,quit
460,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
461,,
462,A36W9YOEXLJLBT,
463,hello how are you,"I am great, thanks."
464,what kind of movies do you like?,Science Fiction. My favorite movies are Blade Runner and Star Wars!
465,"cool, i have never seen either of those.",I highly recommend them. What movies would you recommend for me?
466,I would like to recommend Like a Boss.,Whats it about?
467,"its about Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",Could you recommend a science fiction movie instead?
468,"OK, how about Bad Boys for Life?",What is that one about?
469,the female friend wants to be an actress so she is acting out bad boys for life.,But its not science fiction?
470,"oh, well the robotics or something like that are involved.",Did you have one more recommendation for me?
471,Would you prefer to watch Onward?,Perhaps. Whats it about?
472,"its about Set in a suburban fantasy world, two teenage elf brothers embark on a quest to discover if there is still magic out there.",[accept]
473,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
474,,
475,A2JQI6KKCE0O9V,
476,hello there!,accept
477,"TASK COMPLETE, Thanks for chatting with me!",
478,,
479,A16OH8XXYY0AAS,
480,"hello, how are you?","fine, you"
481,how are you?,"i am okay, what are you doing"
482,"not much, just relaxing. you?",accept
483,"TASK COMPLETE, Thanks for chatting with me!",
484,,
485,A3S6OLEO6D950C,
486,"hello there, how are you doing?",quit
487,"TASK COMPLETE, Thanks for chatting with me!",
488,youre welcome,quit
489,"TASK COMPLETE, Thanks for chatting with me!",
490,,
491,A30Q56QAGVOHRP,
492,hello! i am here to help you looking for a movie trailer.,quit
493,"TASK COMPLETE, Thanks for chatting with me!",
494,,
495,A1WJ54G7U8B57Y,
496,hello! what kind of movies do you like?,"Hi, I prefer horror movie"
497,antlers what,you mean you are recommending Antlers?
498,I would recommend Antlers.,That is great. I heard about it but I have not seen it
499,well you should really check it out. its really gory.,Tell me about its synopsis
500,the plot is about an obsessed girl that loses her mind after she meets a serial killer. she goes mad and thinks people can see her living room from the park.,You are superb with this synopsis. Great!
501,thanks! enjoy the movie!,accept
502,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
503,,
504,A2D2JX8R0QU9G4,
505,hello,hai
506,hello! i am here to help you looking for a movie trailer.,thanks
507,what type of movies do you enjoy watching?,wonder woman
508,those are good movies. my daughter and i enjoyed watching them.,thanks
509,no problem. which part of wonder woman did you like the most?,yes
510,how about your favorite actress?,priyanka chopra
511,would you like to watch the trailer for priyanka chopra it looks like a good movie.,yes
512,what about the new wonder woman that was released last year.,krish 3  
513,what about the movies? any recommendations?,nothing
514,how about wonder woman it looks like a good movie.,yes
515,what about krish 3,its a very good action movie
516,so is avengers: infinity war your favorite movie?,yeah
517,I would recommend Avengers: Endgame.,thanks
518,so is avengers: endgame your favorite movie?,also this movie my favorite
519,very good,thanks
520,youre welcome.,thanks
521,welcome,finish it
522,great,ok
523,Would you prefer to watch Like a Boss?,yes
524,ok here it is,yeaH
525,ok great,welcome
526,Task Finished!,
527,,
528,A2YCMT5BPA0AG9,
529,hello,Hello
530,how is it going?,Its going well
531,great! which movie do you like?,I liked dune a lot
532,i havent seen that in a while but i remember liking it,"Yes, its an old movie now and most people dont really like it"
533,no worries. did you like any of the other dune movies?,Im waiting for the new one that comes out next year
534,good plan. i hope you have a good night.,I hope you have a good night too
535,"thank you, i appreciate that.","Not a problem, take care"
536,i will. you too.,Bye-bye
537,that was lovely chatting with you tonight.,"Yes, its been fun"
538,it sure has been! have a great night.,quit
539,"TASK COMPLETE, Thanks for chatting with me!",
540,,
541,A2C2WXXKJOLCZ2,
542,hello there.,hi
543,what type of movie genres are your favorite?,spiderman
544,"have you ever seen the movie, spiderman",yes
545,i just watched this movie last week. its the best comic book movie ive ever seen! what was your favorite part?,climax seen
546,"oh, really? how about when hes a giant spider-man and he does his webslinging?",nice
547,what about you? what is the last movie you watched?,fast and furious
548,"oh, my. what did you think of the movie?",really good movie
549,which super hero do you prefer,tom
550,tom,yeah
551,you see fast and furious,yes
552,I recommend the movie Like a Boss.,ok
553,so what is your favorite movie?,finished
554,I would like to recommend Bad Boys for Life.,ok
555,so would you like to watch this movie trailer?,no
556,"well that is ok, have a nice day",ok
557,what type of movies do you like?,love
558,"do you prefer movies to have a good story line, or more just the action?",yes
559,"i think you should like the film ""terminator 3: salvation",no
560,ok sorry. what type of movies do you like?,i dont like it
561,ok so what types do you like?,thank u
562,ok so what type of movies do you like?,fight movie
563,Task Finished!,
564,,
565,A16ST6GDZTN4AD,
566,"hello, im here to help you looking for a movie trailer",hello
567,"how do you feel about movies with a more serious theme, like war movies or tragedy movies?",I prefer tragedy movies
568,"i have one for you, then. how do you feel about a movie that features the event being depicted in real time?",sure I am interested
569,Would you prefer to watch Like a Boss?,that sounds like a good suggestion
570,what about charlies angels,next
571,have you seen any of alec baldwin other movies?,no i have not
572,"thats a shame, the 40 year old virgin is my favorite movie of all time.",that sounds good
573,i am excited for you to see it.,thats good
574,how old are you?,39
575,oh nice im 38 and still going strong. you are almost there!!,thats cool
576,i am happy that i was able to help you today.,thats cool
577,what kind of movie have you watched recently?,onward
578,how was it?,it was good
579,i can recommend a movie trailer if you want?,yes please
580,I would recommend Bad Boys for Life.,[accept]
581,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
582,,
583,A292LG3R356V5,
584,hello how are you?,fine
585,i hope you enjoy the rest of your day!,yes
586,i will,ok
587,it would be a pleasure to talk with you!,my partner
588,i am glad that i can be a partner to you,ok
589,okay what is the last movie you watched?,Variety Makes a Comeback
590,are there any particular actors/actresses that you prefer?, Darci Lynne Farmer
591,ok sounds good.,ok
592,what is the latest movie you have watched,no
593,Have you seen Like a Boss?,no
594,ok do you like to watch movies at home or in the theater?,theater
595,ok great.,ok
596,ok great.,thanks
597,you are welcome,ok
598,what about movies that are in the theater?,15
599,what about movies that are in the theaters?,action movies
600,oh cool max steel is a great action movie,Sketch Comedy
601,Have you seen Bad Boys for Life?,yes
602,great movie,ok
603,Have you seen Onward?,ok
604,what about?,nothing
605,Task Finished!,
606,,
607,A20N1NK5X5S88F,
608,hello how are you?,hai i am fine
609,how are you?,fine what about you
610,i am good,ok
611,how about you?,i am good person
612,good. good to hear that,nice person
613,Would you prefer to watch Like a Boss?,yes
614,would you like to see the trailer?,yes
615,nice to hear.,perfect person
616,perfect person,yeah
617,i am going to show you the trailer.,yes
618,it will be a surprise,what surprise
619,the trailer,ok
620,it is a movie,no
621,is there another option?,yes
622,"OK, how about Bad Boys for Life?",nothing
623,"i see, you are kind. is there any other suggestion?",nothing
624,"ok, i will let you watch this movie.",welcome
625,i think i will watch this one.,what movie
626,I am recommending Onward.,thanks
627,what other movies do you like?,yes all hollywood movie i like you
628,thanks,welcome
629,Task Finished!,
630,,
631,A28JMHEQZ8276G,
632,hello,hii
633,hello,how to press the bob
634,how do you do that,im fine and you
635,how do i press the bob,how to press tha boobs
636,how to press boobs with a girl in it,yeah explain me
637,uh,explain it
638,how to press boobs with a girl in it,how to do sex
639,I am recommending Like a Boss.,boss is a movie?
640,yes. you should watch it.,ok in which year the movie was released?
641,1988,please explain the story of boss
642,he became the hero of the movie,ok
643,"ok, so what did you think about the movie?",no comments
644,ok,ok
645,"ok so that was a nice chat, and i think i might just give you the movie trailer.",ok
646,are you ready for the movie?,yes
647,whats your favorite genre of movie?,thriller 
648,ok. i like thriller too. how about a movie you havent seen yet?,yes
649,I would like to recommend Bad Boys for Life.,nice
650,have you seen bad boys for life before?,no
651,I recommend the movie Onward.,thank u
652,are you looking for a new movie?,yes
653,Task Finished!,
654,,
655,A1BZX5G4Q9AYTQ,
656,hello! how are you doing today?,"yes good, you"
657,what movies do you like to watch?,Sci fi movie
658,what is bloodshot about?,yes i like it
